label,IR5,IR6,IR7,BumpLeft,BumpRight
Wall,19,10,33,FALSE,FALSE
Wall,19,8,33,FALSE,FALSE
Wall,20,9,34,FALSE,FALSE
Wall,17,10,32,FALSE,FALSE
Wall,14,8,28,FALSE,FALSE
Wall,20,9,33,FALSE,FALSE
Wall,19,10,33,FALSE,FALSE
Wall,20,8,37,FALSE,FALSE
Wall,16,10,34,FALSE,FALSE
Wall,22,11,39,FALSE,FALSE
Wall,20,13,37,FALSE,FALSE
Wall,21,14,42,FALSE,FALSE
Wall,21,18,40,FALSE,FALSE
Wall,23,14,42,FALSE,FALSE
Wall,21,8,46,FALSE,FALSE
Wall,21,10,64,FALSE,FALSE
Door,23,10,8,FALSE,FALSE
Door,24,10,9,FALSE,FALSE
Door,24,8,14,FALSE,FALSE
Door,23,8,11,FALSE,FALSE
Door,26,11,6,FALSE,FALSE
Door,28,10,4,FALSE,FALSE
Door,28,11,5,FALSE,FALSE
Door,26,10,2,FALSE,FALSE
Door,29,10,5,FALSE,FALSE
Door,30,9,5,FALSE,FALSE
Door,31,9,5,FALSE,FALSE
Door,31,7,5,FALSE,FALSE
Door,32,10,5,FALSE,FALSE
Door,32,8,5,FALSE,FALSE
Door,36,5,7,FALSE,FALSE
Door,34,7,3,FALSE,FALSE
Door,38,9,6,FALSE,FALSE
Door_Passed,17,11,135,FALSE,FALSE
Door_Passed,12,7,313,FALSE,FALSE
Door_Passed,16,10,857,FALSE,FALSE
Door_Passed,13,10,280,FALSE,FALSE
Door_Passed,12,10,181,FALSE,FALSE
Door_Passed,14,9,184,FALSE,FALSE
Door_Passed,15,10,182,FALSE,FALSE
Door_Passed,15,5,188,FALSE,FALSE
Door_Passed,13,11,187,FALSE,FALSE
