label,IR5,IR6,IR7,BumpLeft,BumpRight,IR7_bin
Wall,19,10,33,False,False,Near
Wall,19,8,33,False,False,Near
Wall,20,9,34,False,False,Near
Wall,17,10,32,False,False,Near
Wall,14,8,28,False,False,Near
Wall,20,9,33,False,False,Near
Wall,19,10,33,False,False,Near
Wall,20,8,37,False,False,Near
Wall,16,10,34,False,False,Near
Wall,22,11,39,False,False,Near
Wall,20,13,37,False,False,Near
Wall,21,14,42,False,False,Near
Wall,21,18,40,False,False,Near
Wall,23,14,42,False,False,Near
Wall,21,8,46,False,False,Near
Wall,21,10,64,False,False,Near
Door,23,10,8,False,False,Near
Door,24,10,9,False,False,Near
Door,24,8,14,False,False,Near
Door,23,8,11,False,False,Near
Door,26,11,6,False,False,Near
Door,28,10,4,False,False,Near
Door,28,11,5,False,False,Near
Door,26,10,2,False,False,Near
Door,29,10,5,False,False,Near
Door,30,9,5,False,False,Near
Door,31,9,5,False,False,Near
Door,31,7,5,False,False,Near
Door,32,10,5,False,False,Near
Door,32,8,5,False,False,Near
Door,36,5,7,False,False,Near
Door,34,7,3,False,False,Near
Door,38,9,6,False,False,Near
Door_Passed,17,11,135,False,False,Near
Door_Passed,12,7,313,False,False,Medium
Door_Passed,16,10,857,False,False,Far
Door_Passed,13,10,280,False,False,Near
Door_Passed,12,10,181,False,False,Near
Door_Passed,14,9,184,False,False,Near
Door_Passed,15,10,182,False,False,Near
Door_Passed,15,5,188,False,False,Near
Door_Passed,13,11,187,False,False,Near
