timestamp,command,left_speed,right_speed,Location,IR1,IR2,IR3,IR4,IR5,IR6,IR7,BumpLeft,BumpRight
12.08,Stop,0,0,Wall,0,1,0,1,4,1,6,FALSE,FALSE
12.35,Stop,0,0,Wall,0,3,3,4,9,1,9,FALSE,FALSE
12.62,Stop,0,0,Wall,0,0,0,0,5,0,5,FALSE,FALSE
12.94,Stop,0,0,Wall,0,0,3,1,9,0,11,FALSE,FALSE
13.21,Stop,0,0,Wall,0,3,1,3,3,1,6,FALSE,FALSE
13.48,Stop,0,0,Wall,0,3,3,3,7,2,8,FALSE,FALSE
13.79,Stop,0,0,Wall,0,0,0,3,5,1,5,FALSE,FALSE
14.06,Stop,0,0,Wall,1,3,4,3,8,1,9,FALSE,FALSE
14.33,Stop,0,0,Wall,1,3,3,2,8,0,8,FALSE,FALSE
14.6,Stop,0,0,Wall,0,1,1,1,7,0,9,FALSE,FALSE
14.87,Stop,0,0,Wall,2,4,6,2,11,1,10,FALSE,FALSE
15.14,Stop,0,0,Wall,0,0,2,0,8,1,8,FALSE,FALSE
15.41,Stop,0,0,Wall,1,2,2,0,8,0,7,FALSE,FALSE
15.68,Stop,0,0,Wall,1,2,4,3,9,0,10,FALSE,FALSE
15.95,Stop,0,0,Wall,0,3,3,3,8,1,9,FALSE,FALSE
16.27,Stop,0,0,Wall,0,0,3,0,8,0,9,FALSE,FALSE
16.54,Stop,0,0,Wall,0,0,2,1,6,0,8,FALSE,FALSE
16.81,Stop,0,0,Wall,0,2,2,4,7,2,8,FALSE,FALSE
17.08,Stop,0,0,Wall,0,4,3,4,7,4,9,FALSE,FALSE
17.35,Stop,0,0,Wall,0,0,3,0,8,0,9,FALSE,FALSE
17.62,Stop,0,0,Wall,1,4,2,4,8,2,9,FALSE,FALSE
17.89,Stop,0,0,Wall,0,2,3,1,8,3,10,FALSE,FALSE
18.16,Stop,0,0,Wall,1,1,4,0,9,0,9,FALSE,FALSE
18.43,Stop,0,0,Wall,0,0,4,0,9,0,6,FALSE,FALSE
